n,t,Term,id,paper_list,affiliation
H. Pierreval,new approach; robust layout; evolutionary algorithm; manufacturing system; layout problem; encoding scheme; decision maker; main characteristic; proposed framework; real time,"['new', 'approach', 'robust', 'layout', 'evolutionari', 'algorithm', 'manufactur', 'system', 'layout', 'problem', 'encod', 'scheme', 'decis', 'maker', 'main', 'characterist', 'propos', 'framework', 'real', 'time']",37756,"1. An extra system prototype assisting the statistical validation of simulation models, 2. Evolutionary approaches to the design and organization of manufacturing systems, 3. Modeling Human Real Time Decisions: An Approach Based on Automatic Learning and Visual Interactive Simulation, 4. Encoding Structures and Operators Used in Facility Layout Problems with Genetic Algorithms, 5. Distributed evolutionary algorithms for simulation optimization","Equipe de Recherche en Systèmes de Production de l'IFMA, LIMOS, UMR CNRS 6158, Campus des Cézeaux, B.P. 265, F63175 Aubière Cedex, France;Lab. d'Inf. de Modelisation et d'Optimisation des Systs., French Inst. of Advanced Mech. Eng., Aubiere
"
Maria R. Ebling,mobile computing; mobile device; Coda File System; mobile phone; large number; mobile computing environment; mobile file; quantitative data; sensor data stream; key system variable,"['mobil', 'comput', 'mobil', 'devic', 'coda', 'file', 'system', 'mobil', 'phone', 'larg', 'number', 'mobil', 'comput', 'environ', 'mobil', 'file', 'quantit', 'data', 'sensor', 'data', 'stream', 'key', 'system', 'variabl']",37761,"1. SynRGen: an extensible file reference generator, 2. Exploiting weak connectivity for mobile file access, 3. On the contributions of different empirical data in usability testing, 4. Enabling location-based applications, 5. The importance of translucence in mobile computing systems","School of Computer Science, Carnegie Mellon University;IBM Thomas J. Watson Research Center, Hawthorne, NY;Program Chair;IBM Research Watson, Hawthorne, NY;GVU Center & School of Interactive Computing, Georgia Institute of Technology, Atlanta, USA
"
Francisco Curbera,Web service; Web Services; business process; Web service development; web services programming model; business centric monitoring approach; Web application; Web services framework; business composite execution; business protocol,"['web', 'servic', 'web', 'servic', 'busi', 'process', 'web', 'servic', 'develop', 'web', 'servic', 'program', 'model', 'busi', 'centric', 'monitor', 'approach', 'web', 'applic', 'web', 'servic', 'framework', 'busi', 'composit', 'execut', 'busi', 'protocol']",37777,"1. Optimal integration of Lipschitz functions with a Gaussian weight, 2. Delayed curse of dimension for Gaussian integration, 3. Java Web Services Unleashed, 4. Unraveling the Web Services Web: An Introduction to SOAP, 5. WSDL","IBM Research in Hawthorne, NY;IBM T. J. Watson Research Center, Yorktown Heights, NY;IBM Corp.
"
Sten Agerholm,formal method; formal development; case study; formal specification; lightweight formal method; successful formal methods technology; Lightweight Approach; VDM Technology; VDM Technology typiccilly report; VDM-SLThe IFAD VDM Tools,"['formal', 'method', 'formal', 'develop', 'case', 'studi', 'formal', 'specif', 'lightweight', 'formal', 'method', 'success', 'formal', 'method', 'technolog', 'lightweight', 'approach', 'vdm', 'technolog', 'vdm', 'technolog', 'typiccilli', 'report', 'vdm-slthe', 'ifad', 'vdm', 'tool']",37812,"1. Formal specification and validation at work: a case study using VDM-SL, 2. Proof in VDM: Case Studies, 3. Domain Theory in HOL, 4. LCF Examples in HOL, 5. Non-primitive Recursive Function Definitions","IFAD, Forskerparken 10, DK5230 Odense M, Denmark
"
"Joseph J. LaViola, Jr.",Head Tracking; user interface; mathematical expression; sketch-based interface; user experience; user performance; user preference; user study; mathematical sketch; formal user study,"['head', 'track', 'user', 'interfac', 'mathemat', 'express', 'sketch-bas', 'interfac', 'user', 'experi', 'user', 'perform', 'user', 'prefer', 'user', 'studi', 'mathemat', 'sketch', 'formal', 'user', 'studi']",37830,"1. A discussion of cybersickness in virtual environments, 2. Hands-free multi-scale navigation in virtual environments, 3. CavePainting: a fully immersive 3D artistic medium and interactive experience, 4. Seamless Interaction in Virtual Reality, 5. A Multimodal Interface Framework for Using Hand Gestures and Speech in Virtual Environment Applications","Brown University, Department of Computer Science, Box 1910, Providence, RI;University of Central Florida;University of Central, Florida
"
Fabio Panzieri,experimental evaluation; multimedia application; Web service; communication software architecture; prototype implementation; MultiMedia Applications; cross-layer architecture; middleware architecture; critical DMMAs; isochronous rendering,"['experiment', 'evalu', 'multimedia', 'applic', 'web', 'servic', 'commun', 'softwar', 'architectur', 'prototyp', 'implement', 'multimedia', 'applic', 'cross-lay', 'architectur', 'middlewar', 'architectur', 'critic', 'dmma', 'isochron', 'render']",37873,"1. Interfacing UNIX to Data Communications Networks, 2. Synchronization support and group-membership services for reliable distributed multimedia applications, 3. Load distribution among replicated Web servers: a QoS-based approach, 4. The design of a reliable remote procedure call mechanism, 5. QoS-based Architectures for Geographically Replicated Web Servers","SumaSistemi Vomo Macchina, Rome, Italy;Univ. de Bologna, Bologna, Italy
"
C. Jutten,blind separation; nonlinear mixture; noise parameter; instantaneous mixture; Gaussian noise model; noise amplification; Bayesian Pursuit algorithm; proposed algorithm; bf n; multi-output nonlinear regression,"['blind', 'separ', 'nonlinear', 'mixtur', 'nois', 'paramet', 'instantan', 'mixtur', 'gaussian', 'nois', 'model', 'nois', 'amplif', 'bayesian', 'pursuit', 'algorithm', 'propos', 'algorithm', 'bf', 'n', 'multi-output', 'nonlinear', 'regress']",37884,"1. Separation of sources: a geometry-based procedure for reconstruction of n-valued signals, 2. Separation of a class of convolutive mixtures: a contrast function approach, 3. Fast approximation of nonlinearities for improving inversion algorithms of PNL mixtures and Wiener systems, 4. On underdetermined source separation, 5. Underwater acoustic signal separation based on prior estimation of the channel impulse response","GIPSALAB, Grenoble, France;Sciences and Technologies Department, University Joseph Fourier of Grenoble, Grenoble, France
"
Pablo Andrés Arbeláez,Contour Detection; hierarchical segmentation; image segmentation; low-level segmentation; segmentation data; semantic segmentation; image domain; multi-component approach; proposed approach; Laplacian graph energyMany segmentation,"['contour', 'detect', 'hierarch', 'segment', 'imag', 'segment', 'low-level', 'segment', 'segment', 'data', 'semant', 'segment', 'imag', 'domain', 'multi-compon', 'approach', 'propos', 'approach', 'laplacian', 'graph', 'energymani', 'segment']",37896,"1. Energy Partitions and Image Segmentation, 2. The extrema edges","CEREMADE, UMR CNRS 7534 Université Paris Dauphine, Place du maréchal de Lattre de Tassigny, 75775 Paris Cedex 16, France. <rfc822>arbelaez@ceremade.dauphine.fr</rfc822>;University of California at Berkeley, Berkeley, CA
"
J. Benesty,noise reduction; speech distortion; speech dereverberation; non-coherent noise field; MVDR beamformer; noise reduction performance; background noise; binaural noise reduction problem; different noise field; diffuse noise,"['nois', 'reduct', 'speech', 'distort', 'speech', 'dereverber', 'non-coher', 'nois', 'field', 'mvdr', 'beamform', 'nois', 'reduct', 'perform', 'background', 'nois', 'binaur', 'nois', 'reduct', 'problem', 'differ', 'nois', 'field', 'diffus', 'nois']",37899,"1. A Better Understanding and an Improved Solution to the Problems of Stereophonic Acoustic Echo Cancellation, 2. A fast two-channel projection algorithm for stereophonic acoustic echo cancellation, 3. Synthesized stereo combined with acoustic echo cancellation for desktop conferencing, 4. Adaptive eigenvalue decomposition algorithm for real time acoustic source localization system, 5. A least squares component normalization approach to blind channel identification","INRS, EMT, University of Quebec, Montreal, QC, Canada;Lucent Technol. Bell Labs., Murray Hill, NJ, USA;CNET, IssylesMoulineaux;INRSEMT, Univ. du Quebec, Montreal, Que., Canada
"
Eiji Tokunaga,ubiquitous computing environment; Lifestyle Ubiquitous Gaming; daily life; Virtual Overlay Network; home appliance; Internet-scale ubiquitous computing environment; home computing middleware; ubiquitous computing; ubiquitous computing application; universal controller,"['ubiquit', 'comput', 'environ', 'lifestyl', 'ubiquit', 'game', 'daili', 'life', 'virtual', 'overlay', 'network', 'home', 'applianc', 'internet-scal', 'ubiquit', 'comput', 'environ', 'home', 'comput', 'middlewar', 'ubiquit', 'comput', 'ubiquit', 'comput', 'applic', 'univers', 'control']",38040,"1. A Virtual Overlay Network for Integrating Home Appliance, 2. A Framework for Connecting Home Computing Middleware, 3. Object-Oriented Middleware Infrastructure for Distributed Augmented Reality, 4. Technology Challenges for Building Internet-Scale Ubiquitous Computing, 5. Middleware design issues for ubiquitous computing","Waseda University
"
Takenobu Tokunaga,proposed method; extra-linguistic information; task-performance evaluation; musical expression; information retrieval; information retrieval performance; method result; probabilistic model; computaional method; lexical method,"['propos', 'method', 'extra-linguist', 'inform', 'task-perform', 'evalu', 'music', 'express', 'inform', 'retriev', 'inform', 'retriev', 'perform', 'method', 'result', 'probabilist', 'model', 'computaion', 'method', 'lexic', 'method']",38042,"1. Cluster-based text categorization: a comparison of category search strategies, 2. Lessons from BMIR-J2: a test collection for Japanese IR systems, 3. Combining multiple evidence from different types of thesaurus for query expansion, 4. BMIR-J2: a test collection for evaluation of Japanese information retrieval systems, 5. Query expansion using heterogeneous thesauri","Department of Computer Science, Tokyo Institute of Technology, 2121, Ookayama, Meguro, Tokyo 152, Japan
"
J. Krolik,adaptive weight; M2VDR beamformer; MV beamformer; beamformer stage; adaptive degree; Bartlett beamformer; MV-EPC beamformer; MVDR beamformer; Type I LCMV beamformer; Type I beamformer,"['adapt', 'weight', 'm2vdr', 'beamform', 'mv', 'beamform', 'beamform', 'stage', 'adapt', 'degre', 'bartlett', 'beamform', 'mv-epc', 'beamform', 'mvdr', 'beamform', 'type', 'i', 'lcmv', 'beamform', 'type', 'i', 'beamform']",38054,"1. ""A proposed interpretation of lukasiewiczs four-valued system of modal logic"", 2. Robust Beamformer Weight Design for Broadband Matched-Field Processing, 3. Barankin Bound for Source Localization in Shallow Water, 4. Electromagnetic Matched-Field Processing for Target Height Finding with Over-the-Horizon Radar, 5. A bootstrap approach for evaluating source localization performance on real sensor array data","Scripps Inst. of Oceanog., California Univ., San Diego, CA, USA;Dept. of Electr. & Comput. Eng., Duke Univ., Durham, NC;Dept. of Electr. & Comput. Eng., Concordia Univ., Montreal, Que.
"
Yajuan Lü,statistical machine translation; translation performance; candidate translation; hierarchical phrase-based translation model; tree-to-string translation; baseline system; Chinese-English translation; Chinese-to-English translation test set; Improving statistical machine translation; Improving tree-to-tree translation,"['statist', 'machin', 'translat', 'translat', 'perform', 'candid', 'translat', 'hierarch', 'phrase-bas', 'translat', 'model', 'tree-to-str', 'translat', 'baselin', 'system', 'chinese-english', 'translat', 'chinese-to-english', 'translat', 'test', 'set', 'improv', 'statist', 'machin', 'translat', 'improv', 'tree-to-tre', 'translat']",38080,"1. Learning Chinese bracketing knowledge based on a bilingual language model, 2. Collocation translation acquisition using monolingual corpora, 3. Reducing SMT rule table with monolingual key phrase, 4. Improving tree-to-tree translation with packed forests, 5. Improving statistical machine translation using domain bilingual multiword expressions","Chinese Academy of Sciences, Beijing, China;Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, China
"
James Abello,large graph; graph sketch; graph visualization; graph data; graph edge set; graph hierarchy slice; graph structure; out-of-core graph hierarchy; planar graph; vertex set,"['larg', 'graph', 'graph', 'sketch', 'graph', 'visual', 'graph', 'data', 'graph', 'edg', 'set', 'graph', 'hierarchi', 'slice', 'graph', 'structur', 'out-of-cor', 'graph', 'hierarchi', 'planar', 'graph', 'vertex', 'set']",38081,"1. The weak Bruhat order of &Sgr; consistent sets, 2. and Catalan numbers, 3. On the computational power of self-stabilizing systems, 4. Large networks present visualization challenges, 5. Heuristics for semi-external depth first search on directed graphs","AT&amp/T LabsResearch, Florham Parks, NJ;AT&amp/ LabsResearch, Florham Park, NJ;AT&T Labs  Research;AT&T Labs Research;Rutgers University;Rutgers University and Ask.com;IEEE;AT&T LabsResearch
"
L. A. Le Blanc,system utilization; support system; system performance; DSS generator; lower Mississippi River; database management system; high system utilization; integrated software system; microcomputer-based system; academic advisingA decision support,"['system', 'util', 'support', 'system', 'system', 'perform', 'dss', 'gener', 'lower', 'mississippi', 'river', 'databas', 'manag', 'system', 'high', 'system', 'util', 'integr', 'softwar', 'system', 'microcomputer-bas', 'system', 'academ', 'advisinga', 'decis', 'support']",38092,1. DSS software selection: a multiple criteria decision methodology,"Indiana Univ., Bloomington, IN;University of Arkansas at Little Rock, University of Wisconsin  Eau Claire;Berry College, USA
"
Erwin Marsi,semantic relation; elaborate sentence compression model; input sentence; sentence compression; shared task; part-of-speech tagging; semantic similarity; Dependency-based paraphrasing; observed data; attachment decision,"['semant', 'relat', 'elabor', 'sentenc', 'compress', 'model', 'input', 'sentenc', 'sentenc', 'compress', 'share', 'task', 'part-of-speech', 'tag', 'semant', 'similar', 'dependency-bas', 'paraphras', 'observ', 'data', 'attach', 'decis']",38110,"1. Learning PP attachment for filtering prosodic phrasing, 2. Learning to predict pitch accents and prosodic boundaries in Dutch, 3. Query-based sentence fusion is better defined and leads to more preferred results than generic sentence fusion, 4. CoNLL-X shared task on multilingual dependency parsing, 5. Is sentence compression an NLG task?","Tilburg University, LE Tilburg, The Netherlands;NTNU, Sem Saelandsvei, Trondheim, Norway
"
Hans Friedrich Witschel,query expansion; task management; infrequent query; query expansion method; query stream; user query; case study; target retrieval collection; admission policy; global term weight,"['queri', 'expans', 'task', 'manag', 'infrequ', 'queri', 'queri', 'expans', 'method', 'queri', 'stream', 'user', 'queri', 'case', 'studi', 'target', 'retriev', 'collect', 'admiss', 'polici', 'global', 'term', 'weight']",38112,"1. Evaluating profiling and query expansion methods for P2P information retrieval, 2. Carrot and stick: combining information retrieval models, 3. Global resources for peer-to-peer text retrieval, 4. Global term weights in distributed environments, 5. Admission policies for caches of search engine results","University of Leipzig, Germany;SAP Research,;SAP AG, Walldorf, Germany;University of Applied Sciences Northwestern Switzerland, Olten, Switzerland;Fachhochschule Nordwestschweiz, Riggenbachstr. 16, CH4600 Olten
"
Bogdan Jaroslaw Falkowski,Boolean function; experimental result; fast algorithm; New Algorithm; decision diagram; computational cost; spectral coefficient; existing algorithm; new fastest Linearly Independent; recursive algorithm,"['boolean', 'function', 'experiment', 'result', 'fast', 'algorithm', 'new', 'algorithm', 'decis', 'diagram', 'comput', 'cost', 'spectral', 'coeffici', 'exist', 'algorithm', 'new', 'fastest', 'linearli', 'independ', 'recurs', 'algorithm']",38113,1. Spectral methods for boolean and multiple-valued input logic function,"Nanyang Technical Univ., Singapore;Dept. of Electr. & Comput. Eng., Portland State Univ., OR
"
Noboru Tanabe,memory system; memory slot; PC cluster; Network Interface; O bus; memory bus; proposed memory system; DIMM slot; memory bandwidth intensive application; memory chip,"['memori', 'system', 'memori', 'slot', 'pc', 'cluster', 'network', 'interfac', 'o', 'bu', 'memori', 'bu', 'propos', 'memori', 'system', 'dimm', 'slot', 'memori', 'bandwidth', 'intens', 'applic', 'memori', 'chip']",38119,"1. Low Latency High Bandwidth Message Transfer Mechanisms for a Network Interface Plugged into a Memory Slot, 2. Low Latency Communication on DIMMnet-1 Network Interface Plugged into a DIMM Slot, 3. A Low Latency High Bandwidth Network Interface Prototype for PC Cluster, 4. A New Memory Module for Memory Intensive Applications, 5. A New Memory Module for COTS-Based Personal Supercomputing","TOSHIBA R & D Center, 1 KomukaiToshibacho, Saiwaiku, Kawasaki, 2108582, Japan
"
Stefano Panzieri,cyber attack; localization algorithm; sensor node; localization problem; planning problem; algorithm dynamic; proposed approach; convergence time; Multi-Robot Localization problem; control problem herein,"['cyber', 'attack', 'local', 'algorithm', 'sensor', 'node', 'local', 'problem', 'plan', 'problem', 'algorithm', 'dynam', 'propos', 'approach', 'converg', 'time', 'multi-robot', 'local', 'problem', 'control', 'problem', 'herein']",38135,"1. An iterative scheme for learning gravity compensation in flexible robot arms, 2. Experiments on output tracking with internal stability by learning for a one-link flexible arm, 3. Point to Point Learning Control of a Two-Link Flexible Arm, 4. Monte Carlo Filter in Mobile Robotics Localization: A Clustered Evolutionary Point of View, 5. Case-Based Reasoning in Robot Indoor Navigation","Dipartimento di Informatica e Automazione, Universitá  Roma Tre , Roma, Italy 00146;University of Rome , Rome, Italy
"
Caroline Langensiepen,occupancy signal; occupancy sensor; proposed system; abnormal behaviour; abnormal behaviour pattern; real mouse behaviour; case study; own home; elderly people; detection system,"['occup', 'signal', 'occup', 'sensor', 'propos', 'system', 'abnorm', 'behaviour', 'abnorm', 'behaviour', 'pattern', 'real', 'mous', 'behaviour', 'case', 'studi', 'own', 'home', 'elderli', 'peopl', 'detect', 'system']",38142,"1. Re-configurable computing, 2. Another fine mess: how to generate disorder: to order, 3. A Composite Convex Hull Collision Detector for the Open Dynamics Engine, 4. Occupancy Pattern Extraction and Prediction in an Inhabited Intelligent Environment Using NARX Networks, 5. Trend Modelling of Elderly Lifestyle within an Occupancy Simulator","Nottingham Trent University, UK
"
Andrew Way,EBMT system; translation quality; SMT system; phrase-based statistical machine translation; example-based machine translation system; translation model; translation pair; MT system; following translation direction; machine translation system,"['ebmt', 'system', 'translat', 'qualiti', 'smt', 'system', 'phrase-bas', 'statist', 'machin', 'translat', 'example-bas', 'machin', 'translat', 'system', 'translat', 'model', 'translat', 'pair', 'mt', 'system', 'follow', 'translat', 'direct', 'machin', 'translat', 'system']",38147,"1. A CYK approach to parsing in parallel: a case study, 2. A Typology of Translation Problems for Eurotra Translation Machines, 3. Using the Xbox Kinect™ sensor for gesture recognition","School of Computer Applications, Dublin City University, Ireland. Email: away@compapp.dcu.ie;Applied Language Solutions, Delph, UK;Lingo24, Greenfield, UK
"
Christian Holzbaur,underlying language; CHR constraint; functional dependency; CHR program; Optimizing Compilation; Constraint Handling Rules; constraint handling rule; incremental constraint solvers; multi-headed committed choice constraint; CHR rule,"['underli', 'languag', 'chr', 'constraint', 'function', 'depend', 'chr', 'program', 'optim', 'compil', 'constraint', 'handl', 'rule', 'constraint', 'handl', 'rule', 'increment', 'constraint', 'solver', 'multi-head', 'commit', 'choic', 'constraint', 'chr', 'rule']",38157,"1. Synthesis of hybrid languages, 2. Extending explanation-based generalization by abstraction operators, 3. Extending Explanation-Based Generalization by Abstraction Operators, 4. Building Constraint Solvers with HAL, 5. Optimizing Compilation of Constraint Handling Rules","Austrian Research Institute for Artificial Intelligence;University of Vienna, Austria;(email: holzbaur@chello.at)
"
Thomas P. Way,paper report; advanced computer science student; computer game; computer science; software tool; Green Computing; students valuable hands-on practice; computer game design; computer game design course; computer science class,"['paper', 'report', 'advanc', 'comput', 'scienc', 'student', 'comput', 'game', 'comput', 'scienc', 'softwar', 'tool', 'green', 'comput', 'student', 'valuabl', 'hands-on', 'practic', 'comput', 'game', 'design', 'comput', 'game', 'design', 'cours', 'comput', 'scienc', 'class']",38159,"1. A company-based framework for a software engineering course, 2. SNITCH: a software tool for detecting cut and paste plagiarism, 3. jFAST: a java finite automata simulator","Villanova University, Villanova, Pennsylvania
"
Alberto Abelló,data source; multidimensional design; multidimensional schema; data level; multidimensional modeling; Data Warehousing; data warehouse conceptual schema; heterogeneous data source; important data dependency; multidimensional data,"['data', 'sourc', 'multidimension', 'design', 'multidimension', 'schema', 'data', 'level', 'multidimension', 'model', 'data', 'wareh', 'data', 'warehous', 'conceptu', 'schema', 'heterogen', 'data', 'sourc', 'import', 'data', 'depend', 'multidimension', 'data']",38181,"1. Understanding facts in a multidimensional object-oriented model, 2. On relationships offering new drill-across possibilities, 3. YAM2 (Yet Another Multidimensional Model): An Extension of UML, 4. Benefits of an Object-Oriented Multidimensional Data Model, 5. The BLOOM Model Revisited: An Evolution Proposal","U. Politècnica de Catalunya, Barcelona;U. Politènica de Catalunya, Barcelona, Spain
"
J. C. Cabaleiro,sparse algebra code; irregular code; performance prediction; hardware counter; memory multiprocessors; exhaustive parallel library; sparse iterative method; sparse matrix-vector product; performance result; LoOgGP model,"['spars', 'algebra', 'code', 'irregular', 'code', 'perform', 'predict', 'hardwar', 'counter', 'memori', 'multiprocessor', 'exhaust', 'parallel', 'librari', 'spars', 'iter', 'method', 'spars', 'matrix-vector', 'product', 'perform', 'result', 'looggp', 'model']",38199,"1. ""A parallel algorithm for householders tridiagonalization of a symmetric matrix"", 2. Parallel iterative scheme for solving BEM systems using fast wavelet transforms, 3. Modeling data locality for the sparse matrix-vector product using distance measures, 4. Modeling and improving locality for the sparse-matrix-vector product on cache memories, 5. AVISPA: visualizing the performance prediction of parallel iterative solvers","Departamento Electrónica e Computación, Univ. Santiago de Compostela, 15706 Santiago de Compostela, Spain <rfc822>caba@dec.usc.es</rfc822>
"
Alan J. Smith,sector cache; cache memory; cache performance; production workloads; performance impact; cache size; real workloads; disk cache; high performance; cache simulation,"['sector', 'cach', 'cach', 'memori', 'cach', 'perform', 'product', 'workload', 'perform', 'impact', 'cach', 'size', 'real', 'workload', 'disk', 'cach', 'high', 'perform', 'cach', 'simul']",38273,"1. Disk cache—miss ratio analysis and design considerations, 2. Analysis of benchmark characteristics and benchmark performance prediction, 3. Sector Cache Design and Performance, 4. Implementation Issues in Modern Cache Memory, 5. Tracing Windows95","Univ. of California, Berkeley;Univ. of California, Berkeley, IBM Almaden Research Center, San Jose, CA;University of California
"
Jo Vermeulen,design space; knowledge work; multi-platform user interface design; user interface; Co-activity manager; activity sharing; multi-device design approach; domain expert; activity-aware application; aesthetic user interface,"['design', 'space', 'knowledg', 'work', 'multi-platform', 'user', 'interfac', 'design', 'user', 'interfac', 'co-act', 'manag', 'activ', 'share', 'multi-devic', 'design', 'approach', 'domain', 'expert', 'activity-awar', 'applic', 'aesthet', 'user', 'interfac']",38282,"1. Meta-gui-builders: generating domain-specific interface builders for multi-device user interface creation, 2. Gummy for multi-platform user interface designs: shape me, 3. multiply me, 4. fix me, 5. use me","Hasselt University, Diepenbeek, Belgium;Expertise Centre for Digital Media  IBBT, Hasselt University  transnationale Universiteit Limburg, Diepenbeek, Belgium B3590
"
Asawaree Kalavadee,software mapping; extended partitioning problem; different application; implementation bin; local phase; software component; software synthesis; extended partitioning; partitioning problem; system-level partitioning process,"['softwar', 'map', 'extend', 'partit', 'problem', 'differ', 'applic', 'implement', 'bin', 'local', 'phase', 'softwar', 'compon', 'softwar', 'synthesi', 'extend', 'partit', 'partit', 'problem', 'system-level', 'partit', 'process']",38288,1. Manifestations of heterogeneity in hardware/software co-design,"Dept. of Electrical Engineering and Computer Science, University of California, Berkeley, CA;DSP and VLSI Systems Research Dept., Bell Labs, Holmdel, NJ
"
Antonio Corral,distance-based query; spatial databases; spatial query; spatial datasets; spatial object; K closest pairs query; indexing spatial data; spatial data; spatial databasesThis paper; real datasets,"['distance-bas', 'queri', 'spatial', 'databas', 'spatial', 'queri', 'spatial', 'dataset', 'spatial', 'object', 'k', 'closest', 'pair', 'queri', 'index', 'spatial', 'data', 'spatial', 'data', 'spatial', 'databasesthi', 'paper', 'real', 'dataset']",38303,"1. Closest pair queries in spatial databases, 2. The Impact of Buffering on Closest Pairs Queries Using R-Trees, 3. Approximate Algorithms for Distance-Based Queries in High-Dimensional Data Spaces Using R-Trees, 4. Algorithms for Joining R-Trees and Linear Region Quadtrees, 5. Multi-Way Distance Join Queries in Spatial Databases","Dept.of Languages Computation, University of Almeria, 04120 Almeria, Spain.
"
Karel Bartos,anomaly detection; anomaly detection technique; detection capability; intrusion detection; intrusion detection systemsOur work; computer network; system response; agent-based intrusion detection system; anomaly detection algorithm; anomaly detection efficiency,"['anomali', 'detect', 'anomali', 'detect', 'techniqu', 'detect', 'capabl', 'intrus', 'detect', 'intrus', 'detect', 'systemsour', 'work', 'comput', 'network', 'system', 'respons', 'agent-bas', 'intrus', 'detect', 'system', 'anomali', 'detect', 'algorithm', 'anomali', 'detect', 'effici']",38312,"1. Network Intrusion Detection by Means of Community of Trusting Agents, 2. Multi-agent approach to network intrusion detection, 3. Trust-Based Classifier Combination for Network Anomaly Detection, 4. Collaborative approach to network behaviour analysis based on hardware-accelerated FlowMon probes, 5. Threat-model-driven runtime adaptation and evaluation of intrusion detection system","CESNET;Department of Cybernetics and Center for Applied Cybernetics, Faculty of Electrical Engineering, Czech Technical University in Prague, Prague, Czech Republic 166 27 and CESNET, z. s. p. o., Prague ...;CESNET, z. s. p. o., Zikova 4, Prague 160 00, Czech Republic.
"
M. Weber,differential evolution; proposed algorithm; numerical result; peer-to-peer network; multiple scale factor value; differential evolution structure; differential evolution algorithm; parallel differential evolution algorithm; scale factor; various test problem,"['differenti', 'evolut', 'propos', 'algorithm', 'numer', 'result', 'peer-to-p', 'network', 'multipl', 'scale', 'factor', 'valu', 'differenti', 'evolut', 'structur', 'differenti', 'evolut', 'algorithm', 'parallel', 'differenti', 'evolut', 'algorithm', 'scale', 'factor', 'variou', 'test', 'problem']",38314,"1. A flexible architecture for image processing, 2. Utility function assessment on a micro-computer: an interactive procedure, 3. A novel paradigm of parallel computation and its use to implement simple high performance hardware, 4. XPUTERS: very high throughput by innovative computing principles, 5. A novel paradigm of parallel computation and its use to implement simple high-performance hardware","University of Jyväskylä
"
Michael Weber,location privacy; technical documentation; detailed location information; user interface; privacy implication; privacy management; additional information carrier; aggregated information; combined information; context information,"['locat', 'privaci', 'technic', 'document', 'detail', 'locat', 'inform', 'user', 'interfac', 'privaci', 'implic', 'privaci', 'manag', 'addit', 'inform', 'carrier', 'aggreg', 'inform', 'combin', 'inform', 'context', 'inform']",38338,"1. Information architecture for an advanced integrated manufacturing enterprise, 2. CSCW Tools: Concepts and Architectures, 3. Detection of symmetry of Boolean functions represented by ROBDDs, 4. Integrating synchronous multimedia collaboration into workflow management, 5. Protecting web servers from distributed denial of service attacks","Dept. for Distributed Systems, Oberer Eselsberg, University of Ulm D89069 Ulm, Germany
"
Lúcia V. L. Filgueiras,assistive technology; participatory design method; Recoverability Walkthrough; Crossmedia application; mobile application; participatory design practice; complementary information; communication device; disabled people; government service,"['assist', 'technolog', 'participatori', 'design', 'method', 'recover', 'walkthrough', 'crossmedia', 'applic', 'mobil', 'applic', 'participatori', 'design', 'practic', 'complementari', 'inform', 'commun', 'devic', 'disabl', 'peopl', 'govern', 'servic']",38367,1. Avaliação comparativa de algoritmos de personalização para direcionamento de conteúdo,"Escola Politécnica da Universidade de S. Paulo;Sistemas Digitais da Escola Politécnica da USP, São Paulo, SP, Brasil
"
B N Chatterji,texture image retrieval; complex wavelet filter; proposed method; image enhancement; texture feature; distorted watermarked image; retrieval performance; Cosine-modulated wavelet; content-based image retrieval; decomposed image,"['textur', 'imag', 'retriev', 'complex', 'wavelet', 'filter', 'propos', 'method', 'imag', 'enhanc', 'textur', 'featur', 'distort', 'watermark', 'imag', 'retriev', 'perform', 'cosine-modul', 'wavelet', 'content-bas', 'imag', 'retriev', 'decompos', 'imag']",38388,1. The use of data windows in feature extraction for high dimensional PR problems,"Indian Institute of Technology, Kharagpur, India;Indian Institute of Technology, India;Department of Electronics and ECE, I.I.T, Kharagpur 721 302, India;Department of Computer Science and Engineering, Birla Institute of Technology, Mesra, Ranchi, India 835215;Department of Electronics and Communication Engineering, B. P. Poddar Institute of Management and Technology, Kolkata 700 052, India
"
Roy T. Fielding,Apache web server; Web architecture; software architecture; World Wide Web; open source software development; modern Web architecture; Apache Server; abstract model; architectural style; open source project,"['apach', 'web', 'server', 'web', 'architectur', 'softwar', 'architectur', 'world', 'wide', 'web', 'open', 'sourc', 'softwar', 'develop', 'modern', 'web', 'architectur', 'apach', 'server', 'abstract', 'model', 'architectur', 'style', 'open', 'sourc', 'project']",38401,"1. ""Maintaining distributed hypertext infostructures: welcome to MOMspiders Web"", 2. Web-based development of complex information products, 3. Shared leadership in the Apache project, 4. A case study of open source software development: the Apache server, 5. Principled design of the modern Web architecture","Univ. of California, Irvine;Day Software, Newport Beach, CA;Day Software, Irvine, CA
"
